MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
I00761,中山路372號前落地型變壓器,2019-05-10,嘉義市,東區,中山路372號,落地型變壓器,45.14,mG,True
I00759,中山路360號前落地型變壓器,2019-05-15,嘉義市,東區,中山路360號,落地型變壓器,12.63,mG,True
V00985,漢聲,2019-05-15,臺東縣,台東市,鯉魚山營區,FM廣播電臺,0.01539,mW/cm<sup>2</sup>,True
U10565,富吉路與富裕六街口落地型變壓器量測,2019-04-26,花蓮縣,花蓮市,富吉路與富裕六街口,落地型變壓器,29.3,mG,True
U10564,尚志路29號之1前落地型變壓器量測,2019-04-26,花蓮縣,花蓮市,尚志路29號之1前,落地型變壓器,14.1,mG,True
U10563,尚志路19號旁落地型變壓器量測,2019-04-26,花蓮縣,花蓮市,尚志路19號旁,落地型變壓器,10,mG,True
U10560,美工路13號旁落地型變壓器量測,2019-03-28,花蓮縣,花蓮市,美工路13號旁,落地型變壓器,2.3,mG,True
U10559,北興路落地型變壓器量測,2019-03-28,花蓮縣,花蓮市,北興路,落地型變壓器,0.9,mG,True
U10558,海岸路與南海六街口落地型變壓器量測,2019-03-27,花蓮縣,吉安鄉,海岸路與南海六街口,落地型變壓器,4.9,mG,True
U10557,軒轅路與三民街口落地型變壓器量測,2019-03-22,花蓮縣,花蓮市,軒轅路與三民街口,落地型變壓器,8.3,mG,True
U10562,國盛六街45號前落地型變壓器量測,2019-04-25,花蓮縣,花蓮市,國盛六街45號前,落地型變壓器,12.1,mG,True
U10561,國民八街與國盛三街口落地型變壓器量測,2019-04-25,花蓮縣,花蓮市,國民八街與國盛三街口,落地型變壓器,38.3,mG,True
E01245,LE108-04-002,2019-04-12,高雄市,前鎮區,高雄市前鎮區德昌路345號附近,落地型變壓器,18.708,mG,True
H01253,中壢區環北路368號前落地型變壓器量測,2019-04-25,桃園市,中壢區,環北路368號,落地型變壓器,3.1,mG,True
H01252,中壢區環北路390號落地型變壓器量測,2019-04-25,桃園市,中壢區,環北路390號,落地型變壓器,23.7,mG,True
H01251,中壢區六合路8號前落地型變壓器量測,2019-04-25,桃園市,中壢區,六合路8號,落地型變壓器,50.2,mG,True
D01076,臺南市官田區臺84線及省道1號交叉路段附近,2019-04-25,臺南市,官田區,臺南市官田區臺84線及省道1號交叉路段附近,手機基地臺,7.1E-06,mW/cm<sup>2</sup>,True
H01250,內壢變電所,2019-04-25,桃園市,中壢區,遠揚街28號,變電所,73.7,mG,True
H01249,興國變電所,2019-04-25,桃園市,中壢區,新生路425號,變電所,26.7,mG,True
N01039,彰化縣福興鄉彰水路284號(OK),2019-03-05,彰化縣,福興鄉,彰水路284號,無線區域網路(Wi-Fi),0.0022,mW/cm<sup>2</sup>,True
N01038,彰化縣秀水鄉民生街960號(7-11),2019-03-05,彰化縣,秀水鄉,民生街960號,無線區域網路(Wi-Fi),0.0005,mW/cm<sup>2</sup>,True
